TeamID,AST,BLK,DRB,ORB,PTS,STL,TOV,TS,Team,Year,aAST,aBLK,aDRB,aORB,aPTS,aSTL,aTOV,aTS,PAG,PPG,W,Ring
57,0.036445002,0.121799292,-0.028577811,-0.14980839,-1.327044232,-0.040852525,0.009999864,-0.852377348,Minnesota Timberwolves,2006,-0.194227649,-0.016142117,-0.044295868,0.082087413,-0.774487798,-0.069411103,-0.061197614,-0.89745477,0.964882139,0.945230896,33,0
58,-0.156917298,-0.092889732,0.174736961,-0.095780688,-1.740787814,0.000379142,0.015686991,-1.284590807,Houston Rockets,2006,-0.061767336,-0.017566421,0.049708225,-0.060343032,-1.215862565,-0.008166012,-0.125291314,-0.964802912,0.945295856,0.928738318,34,0
59,-0.284877643,0.070615154,-0.339947985,-0.043174768,-2.053394077,-0.083505974,0.03274837,-1.818057907,Portland Trail Blazers,2006,0.066420064,0.025162712,0.004130483,0.160424157,0.291473903,0.006077032,-0.173717665,0.758702009,1.013332417,0.915338098,21,0
60,0.527954622,0.022950484,0.180238426,-0.245397235,2.881609119,-0.056885416,-0.07301152,3.42692056,Phoenix Suns,2007,-0.276806028,-0.103200762,0.069423419,0.134548753,0.929312528,-0.038636048,0.001308113,-0.614412785,1.042271592,1.116062386,61,0
61,0.286764197,0.123913918,0.002150147,0.039263558,1.961946634,0.219361757,0.095260869,0.431600141,Golden State Warriors,2007,0.388929989,0.029946441,0.390378256,0.22705102,1.820471463,0.121140596,0.397946624,0.736075471,1.082787494,1.078590237,42,0
62,0.2446961,0.080443551,0.145181678,0.124802022,1.661523556,0.118398323,0.155558476,0.459470553,Denver Nuggets,2007,0.370709845,0.064985179,0.00915679,0.131745654,1.114629983,0.121140596,0.142864613,-0.415609088,1.050374772,1.067449868,45,0
63,-0.119894078,-0.003692644,-0.105824636,0.120595213,1.407083602,0.058100717,-0.151538635,0.065785371,Washington Wizards,2007,0.275404478,0.003317001,0.135296246,0.08549452,1.365353598,-0.104508875,0.069984039,1.425454315,1.062529543,1.0563095,41,0
64,0.146537206,0.060811772,0.056838674,-0.036459018,1.155709189,0.00902127,0.044779153,0.919518126,Los Angeles Lakers,2007,0.073581349,0.043961936,0.075029617,0.060266629,1.043773309,0.077692561,-0.04634457,0.432135326,1.047336079,1.046181892,42,0
65,-0.091848679,0.041179993,-0.111433716,-0.064504416,0.717336738,-0.041460447,0.142938046,0.939836805,Memphis Grizzlies,2007,0.443590419,0.101425466,0.039990879,0.074282124,1.787768383,0.122542145,0.016725157,1.88085759,1.080761699,1.028964958,22,0
66,0.390532171,-0.054174361,0.002150147,0.16546785,0.689746863,-0.023230938,0.050388232,0.659603047,Utah Jazz,2007,-0.27119983,0.084606872,-0.324411993,-0.138753401,-0.027252567,0.041252274,-0.015510481,0.816362885,0.998716996,1.027952198,51,0
67,-0.112882728,-0.157942335,-0.081986048,-0.16126104,0.631501573,0.108582434,-0.066000171,0.235133356,Sacramento Kings,2007,0.132446429,0.038355738,0.271246548,-0.007007748,0.964740865,-0.030226751,0.131652217,0.981222173,1.044297387,1.025926676,33,0
68,-0.159157635,0.042582263,0.084884072,0.011218159,0.318816328,-0.047069527,-0.141722746,1.203853582,Dallas Mavericks,2007,-0.38472534,-0.091988366,-0.236114374,-0.102313114,-1.329925261,-0.040037598,-0.071572462,-0.971911561,0.939968938,1.012760786,67,0
69,0.035757883,-0.215435401,-0.255867517,0.040665827,0.229915621,-0.009208239,-0.001495755,-0.062710072,Milwaukee Bucks,2007,0.464613662,0.077599124,0.018967637,0.210232426,1.1827614,0.030039878,0.060173192,1.343275013,1.053413465,1.009722504,28,0
70,0.107273648,-0.079415219,0.035804625,-0.220156376,0.183932497,-0.017621859,-0.192204463,0.583107638,Toronto Raptors,2007,-0.004905423,-0.084980619,0.261435702,-0.089699169,-0.05723039,-0.14655536,-9.34E-05,0.116671357,0.997704099,1.007696982,47,0
71,-0.070814631,-0.107460618,-0.185754021,0.022436319,0.101162873,0.052491637,0.037767803,0.196511293,Oklahoma City Thunder,2007,0.174492914,-0.05134343,-0.065125334,0.058865079,0.735819304,-0.00499886,-0.011305833,1.09986659,1.033155514,1.003645939,31,0
72,0.121296347,0.09446625,0.199870205,0.100963434,0.009196625,0.063709796,0.096663139,-0.505057079,Chicago Bulls,2007,-0.09880924,0.077599124,0.002149043,-0.021023243,-1.111904726,0.028638328,0.263397871,-1.460459301,0.950097913,1.000607656,49,0
73,0.096055489,0.055202692,0.171824807,-0.211742757,-0.055179749,-0.009208239,-0.145929556,1.386885835,San Antonio Spurs,2007,-0.461810563,-0.056949628,-0.10577027,-0.116328609,-1.932206987,-0.019014355,-0.091194155,-2.110707575,0.912620704,0.997569374,58,1
74,0.303591436,-0.146724175,0.098906771,-0.126204292,-0.294291995,-0.132607991,-0.040759312,0.322576878,New Jersey Nets,2007,0.083392196,-0.012100044,0.100257508,-0.063069728,-0.08993347,-0.013408157,-0.074375561,-0.121546456,0.995678304,0.988454527,41,0
75,-0.299384626,-0.164953684,0.086286342,0.16827239,-0.315750786,-0.070908115,0.229878781,-0.147854717,New York Knicks,2007,0.003503874,0.039757288,-0.220697329,-0.037841837,0.357008625,0.031441427,-0.166877828,0.454018242,1.015936255,0.987441766,33,0
76,-0.058194201,-0.056978901,0.306442718,-0.044872637,-0.441437993,-0.014817319,-0.110872808,-0.118906238,Houston Rockets,2007,-0.220744048,-0.034524836,0.131091597,-0.156973545,-1.477089121,-0.031628301,-0.109414298,-2.034336254,0.932878655,0.982377962,52,0
77,0.126905427,-0.012106264,-0.152099543,0.011218159,-0.465962326,0.062307526,-0.023932073,-1.243927854,Charlotte Bobcats,2007,-0.039944161,0.083205322,0.15071329,0.023826342,0.422414786,0.013221284,0.076991786,0.551263336,1.018974948,0.981365202,33,0
78,-0.052585122,-0.034542582,0.104515851,0.178088279,-0.499683283,0.044078018,-0.089838759,-1.361774663,Cleveland Cavaliers,2007,-0.135249528,-0.040131034,0.00915679,-0.147162698,-1.299947437,-0.075076335,0.018126707,-1.134202202,0.940981835,0.980352441,50,0
